"project","downloads"
"boto3",3372563837
"packaging",2250987240
"typing-extensions",1900146292
"certifi",1879397228
"urllib3",1833380899
"idna",1779906504
"requests",1745088880
"charset-normalizer",1686029103
"setuptools",1553594324
"cryptography",1467349376
"botocore",1362437086
"cffi",1301227331
"pluggy",1263128957
"pygments",1236679233
"pyyaml",1204265871
"python-dateutil",1167587676
"six",1163414239
"numpy",1152300360
"pydantic",1130712479
"aiobotocore",1119835363
"click",1114526340
"pycparser",1089332889
"pytest",1074089987
"anyio",1058997365
"pydantic-core",1040013198
"iniconfig",1027612446
"annotated-types",959676203
"h11",934180372
"attrs",931971965
"fsspec",894977544
"protobuf",872495534
"s3transfer",856956349
"grpcio-status",856746560
"typing-inspection",855640243
"httpx",824509626
"markupsafe",812777124
"httpcore",811877182
"platformdirs",780344153
"python-dotenv",777769655
"pandas",773975410
"pathspec",741329582
"jinja2",729199588
"litellm",722884872
"filelock",719918755
"pyjwt",692363170
"pip",684434681
"s3fs",676590468
"tqdm",665150953
"starlette",652072272
"uvicorn",645435111
"aiohttp",644742521
"jmespath",627353503
"yarl",626755003
"rpds-py",626295912
"markdown-it-py",620845364
"rich",620242902
"jsonschema",608545471
"multidict",597683608
"fastapi",594353062
"propcache",589101186
"google-auth",576428487
"wheel",573224626
"websockets",571762060
"pyasn1",567503754
"referencing",561830305
"aiohappyeyeballs",558479645
"frozenlist",558383920
"jsonschema-specifications",557554251
"mdurl",555527209
"pillow",546955901
"pytz",546647882
"aiosignal",543163289
"virtualenv",541831168
"importlib-metadata",537748496
"opentelemetry-semantic-conventions",537585338
"textual",537231678
"trove-classifiers",528329436
"googleapis-common-protos",527771951
"zipp",527293253
"sniffio",504698027
"tzdata",502893466
"annotated-doc",494813486
"opentelemetry-sdk",493664021
"huggingface-hub",490452833
"wrapt",490228002
"hatchling",488018483
"greenlet",482207598
"opentelemetry-api",479239967
"pydantic-settings",478089093
"google-api-core",476876874
"pyasn1-modules",461618760
"regex",456361267
"soupsieve",449931774
"pyarrow",448392348
"tenacity",447047056
"grpcio",441302950
"beautifulsoup4",438583279
"python-multipart",438557009
"distro",434843825
"scipy",429829044
